vaalipiiri,id,sukunimi,etunimi,nimi,puolue,ikä,sukupuoli,Toimin tällä hetkellä kansanedustajana.,valittu,sitoutumaton,kotikunta,ehdokasnumero,Mitä asioita haluat edistää tai ajaa tulevalla vaalikaudella,Vaalilupaus 1,Vaalilupaus 2,Vaalilupaus 3,Äidinkieli,Kotisivun osoite:,Facebook-profiilin osoite:,Twitter-profiilin osoite:,Lapsia,Perheeseeni kuuluu:,Vapaa-ajalla sydäntäni lähinnä on,Työnantaja,Ammattiasema,Ammatti,Koulutus,Kielitaito,Uskonnollinen yhteisö,Poliittisen puolueen jäsen,Poliittinen kokemus,Käytän vaaleihin rahaa,Ulkopuolisen rahoituksen osuus,Tärkein ulkopuolinen rahoituslähde,Vuositulot,Sijoitusten arvo (esim. osakkeet - rahastot),127|Suomessa on liian helppo elää sosiaaliturvan varassa,128|Kaupan ja muiden liikkeiden aukioloajat on vapautettava.,129|Suomessa on siirryttävä perustuloon joka korvaisi nykyisen sosiaaliturvan vähimmäistason.,130|Työntekijälle on turvattava lailla minimityöaika.,131|Ansiosidonnaisen työttömyysturvan kestoa pitää lyhentää.,132|Euron ulkopuolella Suomi pärjäisi paremmin.,133|Ruoan verotusta on varaa kiristää.,134|Valtion ja kuntien taloutta on tasapainotettava ensisijaisesti leikkaamalla menoja.,135|Lapsilisiä on korotettava ja laitettava verolle.,136|Suomella ei ole varaa nykyisen laajuisiin sosiaali- ja terveyspalveluihin.,137|Nato-jäsenyys vahvistaisi Suomen turvallisuuspoliittista asemaa.,138|Suomeen tarvitaan enemmän poliiseja.,139|Maahanmuuttoa Suomeen on rajoitettava terrorismin uhan vuoksi.,140|Venäjän etupiiripolitiikka on uhka Suomelle.,141|Verkkovalvonnassa valtion turvallisuus on tärkeämpää kuin kansalaisten yksityisyyden suoja.,142|Suomen on osallistuttava Isisin vastaiseen taisteluun kouluttamalla Irakin hallituksen joukkoja.,143|Parantumattomasti sairaalla on oltava oikeus avustettuun kuolemaan.,144|Terveys- ja sosiaalipalvelut on tuotettava ensijaisesti julkisina palveluina.,145|Viranomaisten pitää puuttua lapsiperheiden ongelmiin nykyistä herkemmin.,146|Vanhuksen ja hänen omaistensa vastuuta hoitokustannuksista on lisättävä.,147|Kansalaisten oikeus terveyspalveluihin on tärkeämpää kuin kuntien itsehallinto.,148|Ilmastonmuutoksen hillitseminen pitää asettaa teollisuuden kilpailukyvyn edelle.,149|Geenimuunneltu ruoka on turvallista ihmiselle ja ympäristölle.,150|Suomen pitää ottaa suurempi vastuu EU:n alueelle tulevista turvapaikanhakijoista.,"151|On aika luopua ajatuksesta, että koko Suomi on pidettävä asuttuna.",152|Peruskoulun opetusryhmien koko on rajattava lailla esimerkiksi 20 oppilaaseen.,201|Suomen Nato-jäsenyydestä on järjestettävä kansanäänestys.,244|Hyväksytään periaatepäätös uuden ydinvoimalaitosyksikön rakentamisesta.,245|Tuloveroa alennetaan tasaisesti kaikissa tuloluokissa talouden elvyttämiseksi.,246|Edellisen eduskunnan hyväksymä lainmuutos samaa sukupuolta olevien avioliiton sallimisesta peruutetaan.,247|Mietojen viinien ja vahvojen oluiden myynti ruokakaupassa sallitaan.,248|Ruotsin kielen opiskelu muutetaan vapaaehtoiseksi.
01 Helsingin vaalipiiri,4996,Muttilainen,Sami,Muttilainen Sami,Vasemmistoliitto,34,M,0,0,1,Helsinki,40,"Perusasiat ja hyvinvointi edellä, niin lainsäädännön tasolla kuin valtion budjetissa. Peruspalvelut, lähiöt, nuoret, kulttuuri. Itsensä työllistäville riittää ymmärrystä. Byrokratiaa vähemmäksi ja lainsäädäntöä sallivammaksi.",Lupaan olla läsnä kaupunkilaiselle ja kansalaisille jatkossakin kokoussalien ulkopuolella.,Lupaan pitää kiinni vaaliteemojeni puolesta.,Lupaan viedä roskat.,suomi ,http://www.samifrankmuttilainen.com,http://www.facebook.com/samifrank.muttilainen,https://twitter.com/SamiMuttilainen,,,musiikki ,,taiteilija ,Nuoriso-ohjaaja,joku muu,suomi ,ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön,ei,kunnan- tai kaupunginvaltuusto ,alle 1 000 euroa ,0 %,ei ulkopuolista vaalirahoitusta,,ei sijoituksia ,4 - täysin eri mieltä,1 - täysin samaa mieltä,1 - täysin samaa mieltä,1 - täysin samaa mieltä,4 - täysin eri mieltä,1 - täysin samaa mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,1 - täysin samaa mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,1 - täysin samaa mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,1 - täysin samaa mieltä,1 - täysin samaa mieltä,1 - täysin samaa mieltä,4 - täysin eri mieltä,1 - täysin samaa mieltä,1 - täysin samaa mieltä,4 - täysin eri mieltä,1 - täysin samaa mieltä,4 - täysin eri mieltä,1 - täysin samaa mieltä,Kyllä,Ei,Ei,Ei,Kyllä,Kyllä
10 Vaasan vaalipiiri,5421,Muuraiskangas,Teija,Muuraiskangas Teija,Suomen Kristillisdemokraatit (KD),24,F,0,0,0,Kokkola,58,"Haluan edistää erityisesti lasten ja nuorten asemaa. Koulutusmahdollisuuksien on säilyttävä sellaisina, että kaikilla olisi mahdollisuudet kouluttautua huolimatta perhetaustasta.  Pienyrityksiä on tuettava niin, että niillä olisi mahdollisuus kasvaa ja luoda lisää työpaikkoja.  Haluan edistää turvallisuutta ja hyvinvointia perheissä, sillä voidaan luoda turvallisuutta ja hyvinvointia myös laajemmalti yhteiskunnassa.",Arvioin kaikessa päätöksenteossa päätösteni vaikutukset lapsiin ja nuoriin.,Tulen edistämään suomalaisten psyykkistä hyvinvointia ja nopeuttamaan avunsaantimahdollisuuksia.,"Pidän pienten yritysten puolta, jotta niillä olisi paremmat mahdollisuudet kasvuun ja työpaikkojen luomiseen.",suomi ,,https://www.facebook.com/muuraiskangast,https://twitter.com/TeijaMK?lang=sv,ei,,liikunta ,,,kasvatuspsykologian opiskelija (KK),korkeakoulututkinto ,suomi |ruotsi |englanti ,evankelis-luterilainen kirkko ,kyllä ,,1 000-5 000 euroa ,81-100%,puolueen tuki ,,,ohita kysymys,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,ohita kysymys,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,ohita kysymys,3 - jokseenkin eri mieltä,ohita kysymys,1 - täysin samaa mieltä,2 - jokseenkin samaa mieltä,ohita kysymys,2 - jokseenkin samaa mieltä,ohita kysymys,ohita kysymys,2 - jokseenkin samaa mieltä,1 - täysin samaa mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,ohita kysymys,4 - täysin eri mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,Kyllä,Ei,Tyhjä,,Ei,
01 Helsingin vaalipiiri,4258,Muurinen,Seija,Muurinen Seija,Kansallinen Kokoomus,61,F,0,0,0,Helsinki,54,Haluan parantaa terveys- ja sosiaalipalvelujen saatavuutta ja laatua. Erityisesti haluan panostaa ikääntyneen väestön palvelujen varmistamiseen ja kehittämiseen edelleen. Myös lasten ja perheiden varhaisen tuen muodot kaipaavat vahvistamista. Harjoittamalla vastuullista talouspolitiikkaa mahdollistamme korkeatasoiset terveys- ja hyvinvointipalvelut,Teen parhaani hoitoon pääsyn helpottamiseksi ja nopeuttamiseksi mm. terveyskeskuksissa ja kuntoutuspalveluissa.,Tuen asiakkaiden valinnanvapauden lisäämistä.,Tuen valtion velkaantumisen pysäyttämistä palvelurakenteita ja toimintoja uudistamalla.,suomi ,http://www.seijamuurinen.net,https://www.facebook.com/seija.muurinen.9,https://twitter.com/SeijaMuurinen,kyllä ,Puoliso,kirjallisuus ja elokuvat ,yksityinen ,asiantuntijatehtävä ,"Terveys- ja sosiaalialan konsultti, tutkija",korkeakoulututkinto ,suomi |ruotsi |englanti |saksa ,evankelis-luterilainen kirkko ,kyllä ,kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto ,20 000-50 000 euroa ,0 %,ei ulkopuolista vaalirahoitusta,,,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,ohita kysymys,4 - täysin eri mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,ohita kysymys,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,ohita kysymys,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,1 - täysin samaa mieltä,3 - jokseenkin eri mieltä,ohita kysymys,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,Kyllä,Kyllä,Kyllä,Tyhjä,Kyllä,Kyllä
08 Kaakkois-Suomen vaalipiiri,4174,Muurman,Peter,Muurman Peter,Perussuomalaiset,70,M,0,0,0,Hamina,113,"Suomalaisen työn kunnioitus, panostus turvallisuuteen ja puolustukseen sekä koko maan pitäminen asuttuna ja yhdyskuntarakenteeltaan toimivana ovat vaalityöni pääteemoja.",Asiat pitää hoitaa asioina. Talous- ja työllisyyspoliittista linjaa pitää muuttaa.,Turvallisuuteen ja puolustukseen on panostettava.,Suomen ja suomalaisten asiat nostettava etusijalle. Koko maa pidettävä asuttuna ja yhdyskuntarakenteeltaan toimivana.,suomi ,http://www.petermuurman.net,http://facebok.com/peter.muurman.5,,kyllä ,"Aikusia lapsia, jotka ovat perustaneet omia perheitään. Avoliitossa.",liikunta ,,eläkeläinen ,Yhteiskuntatieteiden maisteri ja sosionomi,korkeakoulututkinto ,suomi |ruotsi |englanti |saksa |venäjä ,evankelis-luterilainen kirkko ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto |kansanedustaja ,5 000-10 000 euroa ,1-20 % ,puolueen tuki ,30 000-50 000 euroa ,ei sijoituksia ,4 - täysin eri mieltä,2 - jokseenkin samaa mieltä,4 - täysin eri mieltä,3 - jokseenkin eri mieltä,4 - täysin eri mieltä,2 - jokseenkin samaa mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,2 - jokseenkin samaa mieltä,1 - täysin samaa mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,4 - täysin eri mieltä,2 - jokseenkin samaa mieltä,1 - täysin samaa mieltä,2 - jokseenkin samaa mieltä,4 - täysin eri mieltä,1 - täysin samaa mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,3 - jokseenkin eri mieltä,Ei,Kyllä,Ei,Kyllä,Kyllä,Kyllä
02 Uudenmaan vaalipiiri,4865,Mykkänen,Kai,Mykkänen Kai,Kansallinen Kokoomus,35,M,0,1,0,Espoo,311,"1) Venäjä pitää tuntea, jotta sen kanssa pärjää. Kokemukseni on opettanut, että Venäjän kanssa pärjää, kunhan toimii jämptisti mutta oikeudenmukaisesti.  2) Työn pitää aina kannattaa ja töihin ottamisen olla nykyistä helpompaa. On väärin, että työhön menevän palkasta 80% hupenee veroihin ja etuuksien vähenemiseen.  3) Ympäristövastuu on kannettava järkevillä ratkaisuilla. Noin 10 vuodessa voimme luopua kivihiilestä ja puolittaa öljyriippuvuuden.","Ajan ratkaisuja joihin uskon silloinkin, kun ne eivät ole suosittuja.","Ajan muutoksia, joiden avulla kaikki työ, myös osa-aikainen, on nykyistä kannattavampaa ja töihin ottaminen helpompaa.","Ajan ympäristöfiksuja ratkaisuja, kuten autokannan uudistumista hidastavan autoveron korvaamista päästöperusteisilla käyttöveroilla.",suomi ,http://www.kaimykkanen.fi/,https://www.facebook.com/kaimykkaneneduskuntaan,https://twitter.com/KaiMykkanen,kyllä ,"3- ja 5-vuotiaat pojat, vaimo ja koira.",liikunta ,yksityinen ,johtava asema ,Uudistumisesta ja vaikuttamisesta vastaava johtaja Elinkeinoelämän keskusliitossa,korkeakoulututkinto ,suomi |ruotsi |englanti |venäjä ,evankelis-luterilainen kirkko ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto ,yli 50 000 euroa,21-50% ,yritysten tuki ,yli 100 000 euroa,0-10 000 euroa ,2 - jokseenkin samaa mieltä,1 - täysin samaa mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,ohita kysymys,4 - täysin eri mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,1 - täysin samaa mieltä,2 - jokseenkin samaa mieltä,ohita kysymys,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,Ei,Kyllä,Kyllä,Ei,Kyllä,Kyllä
08 Kaakkois-Suomen vaalipiiri,4641,Mykkänen,Risto,Mykkänen Risto,Vasemmistoliitto,50,M,0,0,0,,65,"Hei, olen Risto Pieksämäeltä, lähihoitaja, kunnanvaltuutettu ja perusturvalautakunnan jäsen. Eduskuntavaaleissa tavoitteenani on puolustaa ja antaa ääneni heille, joilla on haasteita pärjätä elämässään, on hän sitten yksinhuoltaja, pienituloinen eläkeläinen tai mielenterveyskuntoutuja, sillä meillä kaikilla on oikeus ihmisarvoiseen elämään. Lopetetaan kuntien kurjistaminen, turvaamalla kunnille riittävä rahoitus tuottaa laadukaat ja edulliset lähipalvelut kaikille. Kunnissa luodaan hyvinvointia arjen jokaiseen päivään. Työtä ja toimeentuloa suomalaisille, tukemalla pieniä ja keskisuuria yrityksiä. Palkkoja ei tule laskea, eikä työntekijöiden työsuhdeturvaa heikentää, sillä jokaisella on oikeus elää palkallaan. Vanhusten hyvinvointipalvelut lopultakin kuntoon, vanhuus on rikkaus ei kuluerä. Nuorten syrjäytymiseen täytyy kiinnittää enemmän huomiota, koulutuspaikkoja ei saa vähentää ja mielenterveyspalvelut kuntoon. Ihminen ei elä vain leivästä, siksi kulttuuri -ja liikuntapalveluihin kannattaa satsata myös tulevaisuudessakin. Koko Suomea tulee kehittää, ei vain pääkaupunki- ja kasvukeskuksia, Kaakkois- Suomen kehittämisestä hyötyy koko Suomi. Sanon EI Natolle ja rasismille ja KYLLÄ luonnon hyvinvoinnille ja perustulolle. Kannattaa siis äänestää mua, olen mies joka tekee sen minkä lupaa.","Lopetetaan kuntien kurjistaminen, turvaamalla kunnille riittävä rahoitus tuottaa laadukaat ja edulliset lähipalvelut kaikille.","Työtä ja toimeentuloa suomalaisille, tukemalla pieniä ja keskisuuria yrityksiä. Palkkoja, eikä työntekijöiden työsuhdeturvaa tule heikentää.","Vanhusten hyvinvointipalvelut lopultakin kuntoon, vanhuus on rikkaus ei kuluerä.",suomi ,http://ehdokas.vasemmisto.fi/ristomykkanen/,https://www.facebook.com/events/693078560798962/,https://twitter.com/RistoMykkanen,kyllä ,"Perheeseeni kuuluu puoliso Anna, tytär Hinni ja koirat Iines ja Demi.","teatteri, tanssi ja ooppera ",yksityinen ,työntekijä ,Kehitysvammaisten ohjaaja,ammattitutkinto ,suomi |englanti ,evankelis-luterilainen kirkko ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto ,alle 1 000 euroa ,51-80 % ,ammattijärjestöjen tuki ,20 000-30 000 euroa ,ei sijoituksia ,4 - täysin eri mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,1 - täysin samaa mieltä,4 - täysin eri mieltä,2 - jokseenkin samaa mieltä,4 - täysin eri mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,1 - täysin samaa mieltä,1 - täysin samaa mieltä,4 - täysin eri mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,4 - täysin eri mieltä,1 - täysin samaa mieltä,Ei,Ei,Ei,Ei,Ei,Kyllä
04 Satakunnan vaalipiiri,4374,Mykrä,Suvi,Mykrä Suvi,Kansallinen Kokoomus,36,F,0,0,0,Ulvila,98,Sosiaali- ja terveyspuolen ennaltaehkäisyyn panostamista sekä inhimillisestä että taloudellisesta näkökulmasta. Pk-yrittäjyyden toimintaedellytysten turvaamista koko yhteiskunnan hyvinvoinnin kannalta.,Lupaan tehdä parhaani Suomen ja suomalaisten hyvinvoinnin edistämiseksi.,,,suomi ,http://www.suvimykra.fi,https://www.facebook.com/pages/Suvi-Mykrä-kok/296619730543583,https://twitter.com/@suvimykra,kyllä ,Aviomies ja neljä lasta.,liikunta ,julkinen ,työntekijä ,Fysioterapeutti YAMK,korkeakoulututkinto ,suomi |ruotsi |englanti |saksa ,evankelis-luterilainen kirkko ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto ,,,,alle 20 000 euroa ,,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,ohita kysymys,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,4 - täysin eri mieltä,1 - täysin samaa mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,Kyllä,Kyllä,Kyllä,Ei,Kyllä,Kyllä
08 Kaakkois-Suomen vaalipiiri,6015,Mykrä,Timo,Mykrä Timo,Vasemmistoliitto,54,M,0,0,0,,66,,,,,,,,,,,,,,konduktööri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 Savo-Karjalan vaalipiiri,4286,Myller,Riitta,Myller Riitta,Suomen Sosialidemokraattinen Puolue,58,F,1,1,0,Joensuu,47,"Suomalaisten turvallisuutta, ilmastonmuutoksen hillintää, kestävää ekologista ja taloudellista kehitystä, arvokasta vanhuutta, turvallista lapsuutta ja nuoruutta.","Uusia työpaikkoja ja elinvoimaa Savo-Karjalan alueelle omiin vahvuuksiimme kuten puuhun, metsään, koulutukseen ja osaamiseen luottaen.",Uudessa yhdistyneessä vaalipiirissä koko aluetta on kehitettävä tasapuolisesti.,Sosiaali-ja terveydenhuoltouudistuksen on parannettava palveluja tavallisille ihmisille ja kavennettava terveyseroja.,,http://www.riittamyller.fi,http://Facebook.com/riittamyller,,ei,,kirjallisuus ja elokuvat ,julkinen ,,Kansanedustaja,korkeakoulututkinto ,suomi |englanti ,ei kuulu kirkkoon tai muuhun uskonnolliseen yhteisöön,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto |kansanedustaja |Euroopan parlamentin jäsen ,10 000-20 000 euroa ,1-20 % ,joku muu ,70 000-100 000 euroa ,,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,1 - täysin samaa mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,3 - jokseenkin eri mieltä,4 - täysin eri mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,1 - täysin samaa mieltä,3 - jokseenkin eri mieltä,1 - täysin samaa mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,1 - täysin samaa mieltä,1 - täysin samaa mieltä,3 - jokseenkin eri mieltä,1 - täysin samaa mieltä,4 - täysin eri mieltä,2 - jokseenkin samaa mieltä,Kyllä,Ei,Ei,Ei,Ei,Ei
04 Satakunnan vaalipiiri,4901,Myllykoski,Jari,Myllykoski Jari,Vasemmistoliitto,55,M,1,1,0,Nakkila,68,"Esimerkiksi ensimmäisen vieraan työntekijän palkkaamisen kynnyksen madaltamista, kotimaisen teollisuuden investointeja, 0-tuntisopimusten kieltoa, alipalkkauksen kriminalisointia.","Esittää keinoja ja tukea malleja sekä lakeja, jotka edistävät työpaikkojen syntymistä.",Puolustaa kolmikantapohjaista sopimista ja olla kehittämässä työelämän pelisääntöjä. Emme tarvitse 0-tuntisopimuksia eikä alipalkkausta.,Puolustaa opintotukea ja vastustaa koulutuksen leikkauksia.,suomi ,http://www.jarimyllykoski.com,https://www.facebook.com/myllykoskijari,https://twitter.com/JariMyllykoski,kyllä ,,,,,Työehtosihteeri,,,,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto |kansanedustaja ,,,,,,3 - jokseenkin eri mieltä,4 - täysin eri mieltä,2 - jokseenkin samaa mieltä,1 - täysin samaa mieltä,4 - täysin eri mieltä,2 - jokseenkin samaa mieltä,4 - täysin eri mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,ohita kysymys,2 - jokseenkin samaa mieltä,1 - täysin samaa mieltä,1 - täysin samaa mieltä,1 - täysin samaa mieltä,4 - täysin eri mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,4 - täysin eri mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,1 - täysin samaa mieltä,Kyllä,Tyhjä,Ei,Ei,Ei,Kyllä
03 Varsinais-Suomen vaalipiiri,4867,Myllymäki,Pekka,Myllymäki Pekka,Suomen Keskusta,55,M,0,0,0,Mynämäki,62,"Näen tulevaisuuden energiapolitiikassa suuria mahdollisuuksia. Kotimainen uusiutuva energia ja hajautettu  yhdyskuntarakenne luovat myös uusia yrityksiä ja työpaikkoja. Niiden myötä voimme siirtyä talouspolitiikkaan, joka on kestävää ja joka lopettaa Suomen velaksi elämisen. Kotimaisella uusiutuvalla energialla ja sen teknologioilla sekä puhtaalla ruoalla on mahdollisuus nousta globaaliksi menestystarinaksi ja esimerkiksi elinvoimaisesta kaupungin ja vireän maaseudun yhteistyöstä:","Talouskasvua ja uusia työpaikkoja uusiutuvalla energialla ja kokeilevalla kaavoituksella. Osaaminen, teknologia ja kotim. raaka-aineet.","Koko Varsinais-Suomen kehittäminen; maaseutukunnat ja niiden kylät, kehyskunnat ja seutukeskukset tasapuolisesti Turun vetovoiman kanssa.",Suomen kokonaisturvallisuus ja puolustusvoimien kalustohankinnat on pidettävä ajan tasalla. Kyberturvallisuuden nopea kohentaminen.,suomi ,http://www.mypekka.fi/,https://www.facebook.com/pages/Pekka-Myllym%C3%A4ki-eduskuntaan-2015-Anna-%C3%A4%C3%A4ni-joka-vaikuttaa/107124576078771?notif_t=page_new_likes,https://twitter.com/pekkamyllymaki,kyllä ,Vaimo ja kolme aikuista lasta,liikunta ,yksityinen ,asiantuntijatehtävä ,"Aurinkoenergian tuottaja, maanviljelijä ja EU-asiantuntija",korkeakoulututkinto ,suomi |ruotsi |englanti |saksa |venäjä ,evankelis-luterilainen kirkko ,kyllä ,toiminta puolueen paikallistasolla tai muissa puolueen luottamustehtävissä |kunnan- tai kaupunginvaltuusto |kuntayhtymä tai maakuntahallinto ,10 000-20 000 euroa ,1-20 % ,yksityiset lahjoitukset ,30 000-50 000 euroa ,50 000-200 000 euroa ,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,1 - täysin samaa mieltä,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,1 - täysin samaa mieltä,3 - jokseenkin eri mieltä,2 - jokseenkin samaa mieltä,2 - jokseenkin samaa mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,3 - jokseenkin eri mieltä,Kyllä,Ei,Kyllä,Ei,Kyllä,Ei
02 Uudenmaan vaalipiiri,4939,Mångård,Johan George,Mångård Johan George,Suomen Kommunistinen Puolue,60,M,0,0,0,Raasepori,12,Finland ska ut ur  EU och den ekonomiska och monetära unionen och ska åter bli självständigt och obundet. Nej till NATO.,Jag kämpar mot nedskärningar som försämrar samhällets funktioner och låginkomsttagarnas ställning. Rika ska betala skatt som alla andra.,Jag vill arbeta för att Finland på ett lagligt sätt ska utträda ur EU och den ekonomiska och monetära unionen.,Ja vill påverka att Finland blir självständigt och demokratiskt.,ruotsi ,,https://www.facebook.com/johnny.mangaard,,kyllä ,"Två flickor, 7 och 9 år.",kirjallisuus ja elokuvat ,ei työelämässä,eläkeläinen ,"Muusikko, eläkeläinen",korkeakoulututkinto ,suomi |ruotsi |englanti |saksa |ranska |venäjä |espanja |viro |joku muu,ortodoksinen kirkko ,kyllä ,ei mitään näistä,alle 1 000 euroa ,81-100%,puolueen tuki ,alle 20 000 euroa ,ei sijoituksia ,4 - täysin eri mieltä,2 - jokseenkin samaa mieltä,1 - täysin samaa mieltä,1 - täysin samaa mieltä,4 - täysin eri mieltä,1 - täysin samaa mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,3 - jokseenkin eri mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,4 - täysin eri mieltä,1 - täysin samaa mieltä,3 - jokseenkin eri mieltä,4 - täysin eri mieltä,2 - jokseenkin samaa mieltä,1 - täysin samaa mieltä,4 - täysin eri mieltä,1 - täysin samaa mieltä,4 - täysin eri mieltä,1 - täysin samaa mieltä,Kyllä,Ei,Ei,Ei,Kyllä,Ei
